,online_order,book_table,rate,votes,location,rest_type,cost,menu_item
0,1,1,4.1,775,1,24,800.0,8242
1,1,0,4.1,787,1,24,800.0,8242
2,1,0,3.8,918,1,19,800.0,8242
3,0,0,3.7,88,1,73,300.0,8242
4,0,0,3.8,166,4,24,600.0,8242
5,1,0,3.8,286,4,24,600.0,8242
6,0,0,3.6,8,56,24,800.0,8242
7,1,1,4.6,2556,1,26,600.0,8242
8,1,0,4.0,324,1,16,700.0,8242
9,1,0,4.2,504,1,16,550.0,8242
10,1,0,4.1,402,1,16,500.0,8242
11,1,1,4.2,150,1,16,600.0,8242
12,1,1,4.2,164,1,16,500.0,8242
13,0,0,4.0,424,1,16,450.0,8242
14,1,0,3.8,918,1,19,800.0,8242
15,1,0,3.8,90,1,16,650.0,8242
16,1,0,3.9,133,1,16,800.0,8242
17,1,0,3.8,144,1,16,700.0,8242
18,0,0,3.9,93,1,16,300.0,8242
19,1,0,3.1,13,1,16,400.0,8242
20,1,0,3.0,62,1,16,400.0,8242
21,1,0,3.7,180,1,16,500.0,8242
22,0,0,3.6,28,1,16,900.0,8242
23,1,0,3.6,62,1,76,600.0,8242
24,0,0,3.7,31,1,16,300.0,8242
25,0,0,3.2,11,1,16,600.0,8242
26,1,0,3.8,75,1,23,200.0,8242
27,0,0,3.3,4,1,16,500.0,8242
28,0,0,3.3,23,1,16,550.0,8242
29,0,0,3.8,148,4,26,550.0,8242
30,1,0,4.0,219,4,16,600.0,8242
31,1,0,2.8,506,1,73,500.0,8242
32,1,0,3.9,35,1,36,500.0,2640
33,1,0,3.9,172,1,36,750.0,8242
34,1,0,4.2,415,1,73,500.0,2750
35,1,0,3.9,230,1,36,650.0,8242
36,1,0,2.8,91,1,73,400.0,8242
37,1,0,4.2,1647,1,24,600.0,8242
38,1,0,4.4,4884,31,24,750.0,8242
39,1,0,4.0,17,1,73,150.0,828
40,1,0,3.8,133,4,73,200.0,8242
41,0,0,3.9,28,1,62,300.0,8242
42,1,0,3.9,286,1,73,500.0,8242
43,1,0,3.9,540,1,73,800.0,8242
44,1,1,4.6,2556,1,26,600.0,8242
45,0,0,3.8,36,1,36,400.0,8242
46,1,0,3.6,244,48,73,300.0,252
47,1,0,4.0,804,48,24,450.0,7686
48,1,0,3.7,679,67,24,850.0,8242
49,1,0,3.1,245,48,73,300.0,7645
50,0,0,3.7,21,1,73,450.0,8242
51,1,0,4.1,28,86,73,150.0,8109
52,0,0,4.3,345,1,37,400.0,8242
53,1,0,4.0,618,31,24,750.0,8242
54,0,0,4.0,1047,1,73,450.0,8242
55,1,0,3.9,627,1,36,450.0,14
